pcap_id,sample_hash,label,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_bytes,total_packets,bytes_per_second,packets_per_second,pkt_len_mean,pkt_len_std,iat_mean,iat_std,burstiness,burst_count,is_complete_handshake,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,dns_query_count,dns_unique_queries,http_request_count,http_unique_hosts
28,Gamming,bengin,192.168.18.4,155.133.246.52,49152,27018,TCP,905.487414,50129,477,55.3613,0.5268,105.0922,104.5157,1.902284,5.050991,0.452838,56,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,155.133.246.52,192.168.18.4,27018,49152,TCP,905.487082,211038,552,233.0657,0.6096,382.3152,366.5366,1.643352,4.745172,0.48553,62,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,104.29.147.38,192.168.18.4,19338,57001,UDP,27.030858,2882,33,106.6189,1.2208,87.3333,15.7762,0.844714,0.321554,-0.448576,5,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,104.29.147.38,57001,19338,UDP,25.799863,51757,583,2006.0959,22.597,88.777,3.8006,0.04433,0.179453,0.603814,17,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,216.239.32.223,51969,443,TCP,89.909888,2160,5,24.0241,0.0556,432.0,672.8444,22.477472,38.901473,0.267584,2,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,216.239.32.223,192.168.18.4,443,51969,TCP,89.89852,757,6,8.4206,0.0667,126.1667,149.62,17.979704,35.947079,0.333181,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,2.22.209.117,49160,443,TCP,267.607364,438,8,1.6367,0.0299,54.75,0.433,38.229623,15.623557,-0.419772,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,2.22.209.117,192.168.18.4,443,49160,TCP,267.590501,528,8,1.9732,0.0299,66.0,6.0,38.227214,15.630301,-0.419568,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.159.135.233,49163,443,TCP,354.993985,548,10,1.5437,0.0282,54.8,0.4,39.443776,14.040826,-0.474958,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.159.135.233,192.168.18.4,443,49163,TCP,354.999962,729,11,2.0535,0.031,66.2727,9.6115,35.499996,17.812124,-0.33178,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,192.168.18.4,162.159.135.233,49164,443,TCP,355.296325,602,11,1.6944,0.031,54.7273,0.4454,35.529632,17.756733,-0.333536,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
28,Gamming,bengin,162.159.135.233,192.168.18.4,443,49164,TCP,355.300405,729,11,2.0518,0.031,66.2727,9.6115,35.530041,17.751829,-0.333663,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0
